#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
25.2	5.96059259378868E-10	-0.00070015062509111	-0.068113651822317	-0.264792463432922
25.3	5.41566745398809E-10	-0.000671542972687352	-0.0667895532001975	-0.264186551298019
25.4	4.92048434626695E-10	-0.000644082265730938	-0.0654868447530926	-0.263533193760809
25.5	4.47050895885599E-10	-0.000617723607925736	-0.0642053130846523	-0.262833328341729
25.6	4.06161942084498E-10	-0.000592423806047827	-0.0629447420364836	-0.262087890141525
25.7	3.69007004111484E-10	-0.000568141308078481	-0.0617049129249564	-0.261297811377392
25.8	3.35245807821873E-10	-0.000544836143453699	-0.0604856047697237	-0.260464020935676
25.9	3.04568882907243E-10	-0.000522469865344847	-0.0592865945141841	-0.259587443940909
26	2.76694851567405E-10	-0.000501005494924755	-0.0581076572380221	-0.25866900134086
26.1	2.51368173072327E-10	-0.000480407467555517	-0.0569485663620554	-0.25770960950733
26.2	2.283564097198E-10	-0.000460641580828221	-0.0558090938455239	-0.256710179852389
26.3	2.07448298116231E-10	-0.000441674944404187	-0.0546890103760193	-0.255671618459787
26.4	1.88451788198006E-10	-0.000423475931602884	-0.0535880855522424	-0.254594825731243
26.5	1.71192728733107E-10	-0.000406014132677457	-0.0525060880597212	-0.253480696047283
26.6	1.5551168979663E-10	-0.000389260309716407	-0.0514427858397224	-0.252330117442401
26.7	1.41265480477471E-10	-0.000373186353146257	-0.0503979462514522	-0.251143971294194
26.8	1.28322319787114E-10	-0.000357765239743111	-0.049371336227794	-0.249923132026207
26.9	1.16563750307737E-10	-0.000342970992144426	-0.0483627224246803	-0.248668466824203
27	1.05881016100196E-10	-0.000328778639782012	-0.0473718713643101	-0.247380835365529
27.1	9.61758510304113E-11	-0.000315164181211197	-0.0463985495723439	-0.246061089561343
27.2	8.73594776713867E-11	-0.000302104547772931	-0.0454425237092519	-0.244710073311362
27.3	7.9350078618566E-11	-0.000289577568556618	-0.044503560695973	-0.243328622270886
27.4	7.20739238447773E-11	-0.000277561936622998	-0.0435814278340157	-0.241917563629771
27.5	6.54645185660162E-11	-0.000266037176428669	-0.0426758929201952	-0.240477715903115
27.6	5.94605388997464E-11	-0.000254983612427603	-0.041786724356113	-0.239009888733325
27.7	5.40061270887745E-11	-0.000244382338808126	-0.0409136912525524	-0.237514882703319
27.8	4.90515530979646E-11	-0.000234215190323569	-0.0400565635289313	-0.235993489160582
27.9	4.45508167712952E-11	-0.000224464714173672	-0.0392151120079392	-0.234446490051774
28	4.04626000532386E-11	-0.000215114142915907	-0.0383891085055172	-0.232874657767651
28.1	3.6749010154125E-11	-0.000206147368359456	-0.0375783259163162	-0.231278754998015
28.2	3.33761135640006E-11	-0.000197548916416348	-0.0367825382947454	-0.229659534596411
28.3	3.03117956603713E-11	-0.000189303922862377	-0.0360015209317659	-0.228017739454329
28.4	2.75285406255916E-11	-0.000181398110007123	-0.035235050427558	-0.226354102384638
28.5	2.50008745485861E-11	-0.000173817764199466	-0.0344829047601701	-0.224669346013992
28.6	2.27048517829951E-11	-0.000166549714173189	-0.0337448633502963	-0.222964182683957
28.7	2.06192709217818E-11	-0.000159581310189896	-0.0330207071222767	-0.2212393143606
28.8	1.87251181026405E-11	-0.000152900403960802	-0.0323102185614767	-0.219495432552306
28.9	1.70047396275947E-11	-0.000146495329296087	-0.0316131817681192	-0.217733218235548
29	1.5442113362244E-11	-0.00014035488349017	-0.0309293825077167	-0.215953341788401
29.1	1.40231514192422E-11	-0.000134468309391407	-0.0302586082581953	-0.214156462931543
29.2	1.27341874019693E-11	-0.000128825278139579	-0.0296006482538285	-0.212343230676507
29.3	1.15638236204534E-11	-0.000123415872552799	-0.028955293526075	-0.210514283280952
29.4	1.05010251365731E-11	-0.000118230571135438	-0.028322336941451	-0.208670248210739
29.5	9.53572367829171E-12	-0.000113260232680333	-0.0277015732364952	-0.206811742108574
29.6	8.65892628458755E-12	-0.000108496081460929	-0.0270927990499699	-0.204939370768983
29.7	7.86262825795131E-12	-0.000103929692968748	-0.0264958129523587	-0.203053729119443
29.8	7.13937865464242E-12	-9.95529801952977E-05	-0.025910415472781	-0.201155401207417
29.9	6.48239762461017E-12	-9.5358180433717E-05	-0.0253364091233932	-0.199244960193095
30	5.88562638748712E-12	-9.13378425759873E-05	-0.0247735984213831	-0.197322968347642
30.1	5.343702171652E-12	-8.74848148929424E-05	-0.0242217899086348	-0.195389977056748
30.2	4.85184216952515E-12	-8.37922332778608E-05	-0.023680792169145	-0.193446526829269
30.3	4.40546640200149E-12	-8.02535099388794E-05	-0.0231504158442884	-0.191493147310779
30.4	3.9998240238105E-12	-7.68623225204606E-05	-0.0226304736459903	-0.189530357301835
30.5	3.63141525065529E-12	-7.3612603643129E-05	-0.0221207803679063	-0.187558664780775
30.6	3.29660279311948E-12	-7.04985308394264E-05	-0.0216211528946693	-0.185578566930841
30.7	2.99309585949724E-12	-6.75145168757276E-05	-0.0211314102092816	-0.183590550171493
30.8	2.71729762847758E-12	-6.46552004451206E-05	-0.0206513733987286	-0.18159509019368
30.9	2.46680612158244E-12	-6.19154372220408E-05	-0.0201808656578741	-0.17959265199894
31	2.23964306774608E-12	-5.92902912547299E-05	-0.0197197122917104	-0.177583689942142
31.1	2.03342426501625E-12	-5.67750266877813E-05	-0.0192677407160343	-0.175568647777708
31.2	1.84550449721447E-12	-5.43650998151773E-05	-0.0188247804565961	-0.173547958709144
31.3	1.67514703481444E-12	-5.20561514313392E-05	-0.0183906631468009	-0.171522045441739
31.4	1.52081997774703E-12	-4.98439994742236E-05	-0.0179652225240084	-0.169491320238264
31.5	1.38027908889855E-12	-4.77246319592725E-05	-0.0175482944244987	-0.167456184977518
31.6	1.25273520857163E-12	-4.5694200195126E-05	-0.0171397167771516	-0.165417031215579
31.7	1.13730735418766E-12	-4.37490122445419E-05	-0.0167393295958986	-0.163374240249625
31.8	1.0319573746633E-12	-4.18855266502925E-05	-0.0163469749710052	-0.161328183184156
31.9	9.36282154122978E-13	-4.01003464100549E-05	-0.0159624970592152	-0.159279220999516
32	8.49675837138491E-13	-3.83902131737842E-05	-0.0155857420728345	-0.157227704622543
32.1	7.70768884118325E-13	-3.67520016775063E-05	-0.0152165582677698	-0.155173974999242
32.2	6.99587675901309E-13	-3.51827143901105E-05	-0.0148547959306012	-0.153118363169355
32.3	6.3460337698612E-13	-3.36794763650669E-05	-0.0145003073647009	-0.151061190342668
32.4	5.75663975825463E-13	-3.22395303086872E-05	-0.0141529468754684	-0.149002767976987
32.5	5.22616064681523E-13	-3.08602318231453E-05	-0.013812570754697	-0.146943397857614
32.6	4.74189912440073E-13	-2.95390448447654E-05	-0.0134790372641404	-0.144883372178245
32.7	4.30643434130672E-13	-2.82735372697561E-05	-0.0131522066182865	-0.142822973623152
32.8	3.91434259390869E-13	-2.70613767320855E-05	-0.0128319409664044	-0.140762475450553
